rank,candidate_id,search_ranking_score,retrieval_score,evaluation_score,recommendation_score,vector_search_score,behavioral_score,trust_score,trust_penalty,calibration_penalty,final_score,score_cap,reasoning,current_title,current_company,years_of_experience,skill_count,ai_skill_count,relevant_role_count,relevant_duration_months,max_evidence_level,level4_5_count,search_ranking_evidence_count,retrieval_evidence_count,evaluation_evidence_count,recommendation_evidence_count,vector_search_evidence_count,ownership_term_count,scale_term_count,template_repetition,keyword_stuffer,ai_transition,consulting_only,trust_points,trust_reason_codes,consistency_points,consistency_reason_codes
24,CAND_0086151,0.74446,0.722881,0.824089,0.872576,0.844027,0.7228,0.742857,0.09,0.0,0.684657,,"Evidence: Recommendation/matching L5 via `recommendation systems` at Wysa / Recommendation Systems Engineer: Recommendation Systems Engineer. | Vector search L5 via `embeddings` at Glance / Search Engineer: The system uses item-item similarity (via sentence-transformer embeddings) for cold starts and a gradient-boosted model trained on engagement signals for warm users. | Evaluation L5 via `human judgments` at Wysa / Recommendation Systems Engineer: Designed the relevance labeling pipeline (mix of click-through data and explicit human judgments), the feature pipeline, and the training/eval workflow. | Search ranking L5 via `learning-to-rank` at Wysa / Recommendation Systems Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Concerns: long notice period (120 days); trust flags: current_title_description_mismatch, previous_title_description_mismatch, skills_career_history_mismatch",Recommendation Systems Engineer,Wysa,7.7,19,3,3,91.0,5,21,5,9,4,10,9,3,5,False,False,False,False,9.0,current_title_description_mismatch; previous_title_description_mismatch; skills_career_history_mismatch; skills_current_role_mismatch; skills_headline_mismatch,9.0,current_title_description_mismatch; previous_title_description_mismatch; skills_current_role_mismatch; skills_headline_mismatch; skills_career_history_mismatch
25,CAND_0050454,0.803088,0.909613,0.762175,0.24696,0.880638,0.854415,0.771429,0.08,0.0,0.68251,0.92,"Evidence: Retrieval L4 via `retrieval` at Rephrase.ai / AI Engineer: Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-neighbor retrieval. | Vector search L4 via `faiss` at Rephrase.ai / AI Engineer: Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-neighbor retrieval. | Search ranking L5 via `learning-to-rank` at Uber / Machine Learning Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. | Evaluation L5 via `human judgments` at Uber / Machine Learning Engineer: Designed the relevance labeling pipeline (mix of click-through data and explicit human judgments), the feature pipeline, and the training/eval workflow. Concerns: template-like repeated career descriptions; trust flags: template_repetition; score capped at 0.92",AI Engineer,Rephrase.ai,6.8,15,4,3,81.0,5,22,5,10,4,2,9,2,1,True,False,False,False,8.0,template_repetition,0.0,
26,CAND_0030827,0.75108,0.732038,0.728375,0.264857,0.681722,0.7246,1.0,0.0,0.0,0.677558,,"Evidence: Search ranking L5 via `learning-to-rank` at Freshworks / Senior Data Scientist: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. | Retrieval L4 via `retrieval` at Glance / NLP Engineer: Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-neighbor retrieval. | Evaluation L5 via `human judgments` at Freshworks / Senior Data Scientist: Designed the relevance labeling pipeline (mix of click-through data and explicit human judgments), the feature pipeline, and the training/eval workflow. | Vector search L4 via `faiss` at Glance / NLP Engineer: Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-neighbor retrieval. Concerns: long notice period (120 days)",Senior Data Scientist,Freshworks,5.4,16,2,2,64.0,5,14,6,8,3,4,7,2,1,False,False,False,False,0.0,,0.0,
27,CAND_0071974,0.895606,0.480444,0.432964,0.843476,0.895684,0.818368,0.914286,0.03,0.0,0.675186,,"Evidence: Vector search L5 via `embedding` at Netflix / Senior AI Engineer: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing  embedding generation (using a fine-tuned BGE-large)  Pinecone retrieval  learning-to-rank re-scoring (XGBoost)  behavioral-signal inte... | Search ranking L5 via `learning-to-rank` at Netflix / Senior AI Engineer: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing  embedding generation (using a fine-tuned BGE-large)  Pinecone retrieval  learning-to-rank re-scoring (XGBoost)  behavioral-signal inte... | Recommendation/matching L5 via `recommendations` at Netflix / Senior AI Engineer: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing  embedding generation (using a fine-tuned BGE-large)  Pinecone retrieval  learning-to-rank re-scoring (XGBoost)  behavioral-signal inte... | Retrieval L5 via `retrieval` at Netflix / Senior AI Engineer: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing  embedding generation (using a fine-tuned BGE-large)  Pinecone retrieval  learning-to-rank re-scoring (XGBoost)  behavioral-signal inte... Concerns: trust flags: skills_current_role_mismatch, skills_headline_mismatch",Senior AI Engineer,Netflix,7.8,19,4,3,92.0,5,17,8,6,2,4,12,5,5,False,False,False,False,3.0,skills_current_role_mismatch; skills_headline_mismatch,3.0,skills_current_role_mismatch; skills_headline_mismatch
28,CAND_0043228,0.745893,0.77419,0.728375,0.24696,0.722291,0.80989,0.942857,0.02,0.0,0.672204,,"Evidence: Retrieval L4 via `retrieval` at Yellow.ai / Search Engineer: Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-neighbor retrieval. | Search ranking L5 via `learning-to-rank` at Zoho / Applied ML Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. | Evaluation L5 via `human judgments` at Zoho / Applied ML Engineer: Designed the relevance labeling pipeline (mix of click-through data and explicit human judgments), the feature pipeline, and the training/eval workflow. | Vector search L4 via `faiss` at Yellow.ai / Search Engineer: Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-neighbor retrieval. Concerns: trust flags: previous_title_description_mismatch",Applied ML Engineer,Zoho,6.8,18,3,2,36.0,5,14,5,8,3,2,9,4,2,False,False,False,False,2.0,previous_title_description_mismatch,2.0,previous_title_description_mismatch
29,CAND_0033861,0.704092,0.812291,0.503525,0.751151,0.895684,0.622468,0.885714,0.04,0.0,0.666221,,"Evidence: Vector search L5 via `embedding` at Sarvam AI / Senior NLP Engineer: Spent substantial time on the boring-but-critical parts: incremental index refresh, embedding drift monitoring, online/offline metric correlation. | Retrieval L5 via `retrieval` at Sarvam AI / Senior NLP Engineer: Migrated the existing BM25-only retrieval to a hybrid setup combining sparse and dense vectors (sentence-transformers, MPNet-base initially, later fine-tuned BGE-large for our domain). | Recommendation/matching L5 via `matching` at Mad Street Den / Senior NLP Engineer: Fine-tuned LLaMA-2-7B and Mistral-7B variants using LoRA and QLoRA for domain-specific candidate-JD matching. | Search ranking L5 via `candidate-jd matching` at Mad Street Den / Senior NLP Engineer: Fine-tuned LLaMA-2-7B and Mistral-7B variants using LoRA and QLoRA for domain-specific candidate-JD matching. Concerns: trust flags: degree_order_reversal",Senior NLP Engineer,Mad Street Den,8.0,23,3,3,95.0,5,16,6,7,3,3,12,8,7,False,False,False,False,4.0,degree_order_reversal,4.0,degree_order_reversal
30,CAND_0011687,0.782379,0.466513,0.565305,0.604369,0.756037,0.9647,1.0,0.0,0.0,0.660214,,Evidence: Search ranking L5 via `learning-to-rank` at Niramai / Senior NLP Engineer: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing  embedding generation (using a fine-tuned BGE-large)  Pinecone retrieval  learning-to-rank re-scoring (XGBoost)  behavioral-signal inte... | Vector search L5 via `embedding` at Niramai / Senior NLP Engineer: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing  embedding generation (using a fine-tuned BGE-large)  Pinecone retrieval  learning-to-rank re-scoring (XGBoost)  behavioral-signal inte... | Recommendation/matching L5 via `recommendations` at Niramai / Senior NLP Engineer: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing  embedding generation (using a fine-tuned BGE-large)  Pinecone retrieval  learning-to-rank re-scoring (XGBoost)  behavioral-signal inte... | Evaluation L5 via `simulated a/b` at Niramai / Senior NLP Engineer: After three iterations we landed on a calibration approach using simulated A/B tests that has held up over the last 18 months.,Senior NLP Engineer,Niramai,7.8,13,5,2,92.0,5,11,5,5,4,2,8,3,3,False,False,False,False,0.0,,0.0,
31,CAND_0062247,0.745893,0.726409,0.728375,0.268996,0.681722,0.8534,0.914286,0.03,0.0,0.654064,,"Evidence: Search ranking L5 via `learning-to-rank` at Dream11 / NLP Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. | Evaluation L5 via `human judgments` at Dream11 / NLP Engineer: Designed the relevance labeling pipeline (mix of click-through data and explicit human judgments), the feature pipeline, and the training/eval workflow. | Retrieval L4 via `retrieval` at Google / AI Engineer: Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-neighbor retrieval. | Vector search L4 via `faiss` at Google / AI Engineer: Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-neighbor retrieval. Concerns: trust flags: skills_current_role_mismatch, skills_headline_mismatch",AI Engineer,Google,7.3,17,4,2,87.0,5,14,5,7,3,4,7,2,1,False,False,False,False,3.0,skills_current_role_mismatch; skills_headline_mismatch,3.0,skills_current_role_mismatch; skills_headline_mismatch
32,CAND_0083307,0.913976,0.693105,0.959943,0.24696,0.796062,0.767048,0.485714,0.12,0.0,0.652869,0.82,"Evidence: Evaluation L5 via `human judgments` at Netflix / Machine Learning Engineer: Designed the relevance labeling pipeline (mix of click-through data and explicit human judgments), the feature pipeline, and the training/eval workflow. | Search ranking L5 via `learning-to-rank` at Netflix / Machine Learning Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. | Vector search L4 via `faiss` at Ola / Machine Learning Engineer: Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-neighbor retrieval. | Retrieval L4 via `retrieval` at Ola / Machine Learning Engineer: Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-neighbor retrieval. Concerns: template-like repeated career descriptions; long notice period (120 days); trust flags: current_title_description_mismatch, current_title_evidence_mismatch, skills_current_role_mismatch; score capped at 0.82",Search Engineer,CRED,7.8,18,3,4,92.0,5,24,9,6,9,2,12,3,1,True,False,False,False,18.0,current_title_description_mismatch; current_title_evidence_mismatch; skills_current_role_mismatch; skills_headline_mismatch; template_repetition,6.0,current_title_description_mismatch; skills_current_role_mismatch; skills_headline_mismatch
33,CAND_0093912,0.913976,0.693105,0.94344,0.264857,0.641906,0.9262,0.571429,0.12,0.0,0.652396,0.9,"Evidence: Evaluation L5 via `human judgments` at Razorpay / Senior Data Scientist: Designed the relevance labeling pipeline (mix of click-through data and explicit human judgments), the feature pipeline, and the training/eval workflow. | Search ranking L5 via `learning-to-rank` at Razorpay / Senior Data Scientist: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. | Retrieval L4 via `retrieval` at Flipkart / Search Engineer: Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-neighbor retrieval. | Vector search L4 via `faiss` at Flipkart / Search Engineer: Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-neighbor retrieval. Concerns: template-like repeated career descriptions; trust flags: moderate_career_incoherence, previous_title_description_mismatch, skills_career_history_mismatch; score capped at 0.90",Senior Data Scientist,Razorpay,5.3,13,2,3,62.0,5,20,9,6,8,4,7,2,1,True,False,False,False,15.0,moderate_career_incoherence; previous_title_description_mismatch; skills_career_history_mismatch; skills_current_role_mismatch; template_repetition,7.0,previous_title_description_mismatch; moderate_career_incoherence; skills_current_role_mismatch; skills_career_history_mismatch
34,CAND_0027691,0.745893,0.686658,0.744142,0.165891,0.638582,0.686932,1.0,0.0,0.0,0.650715,,"Evidence: Search ranking L5 via `learning-to-rank` at Meta / AI Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. | Evaluation L5 via `human judgments` at Meta / AI Engineer: Designed the relevance labeling pipeline (mix of click-through data and explicit human judgments), the feature pipeline, and the training/eval workflow. | Retrieval L4 via `retrieval` at Vedantu / Applied ML Engineer: Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-neighbor retrieval. | Vector search L4 via `faiss` at Vedantu / Applied ML Engineer: Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-neighbor retrieval.",NLP Engineer,Haptik,6.5,17,3,2,49.0,5,14,5,5,4,6,6,4,2,False,False,False,False,0.0,,0.0,
35,CAND_0051630,0.739134,0.702809,0.744142,0.165891,0.638582,0.598524,1.0,0.0,0.0,0.64601,,"Evidence: Evaluation L5 via `human judgments` at Razorpay / Machine Learning Engineer: Designed the relevance labeling pipeline (mix of click-through data and explicit human judgments), the feature pipeline, and the training/eval workflow. | Search ranking L5 via `learning-to-rank` at Razorpay / Machine Learning Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. | Retrieval L4 via `retrieval` at InMobi / AI Engineer: Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-neighbor retrieval. | Vector search L4 via `faiss` at InMobi / AI Engineer: Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-neighbor retrieval. Concerns: long notice period (90 days)",Machine Learning Engineer,Razorpay,6.0,18,4,2,71.0,5,14,4,7,4,6,6,2,1,False,False,False,False,0.0,,0.0,
36,CAND_0007411,0.788017,0.480444,0.565305,0.604369,0.751486,0.631967,1.0,0.0,0.0,0.641669,,Evidence: Search ranking L5 via `learning-to-rank` at Amazon / Senior Machine Learning Engineer: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing  embedding generation (using a fine-tuned BGE-large)  Pinecone retrieval  learning-to-rank re-scoring (XGBoost)  behavioral-signal inte... | Vector search L5 via `embedding` at Amazon / Senior Machine Learning Engineer: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing  embedding generation (using a fine-tuned BGE-large)  Pinecone retrieval  learning-to-rank re-scoring (XGBoost)  behavioral-signal inte... | Recommendation/matching L5 via `recommendations` at Amazon / Senior Machine Learning Engineer: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing  embedding generation (using a fine-tuned BGE-large)  Pinecone retrieval  learning-to-rank re-scoring (XGBoost)  behavioral-signal inte... | Evaluation L5 via `simulated a/b` at Amazon / Senior Machine Learning Engineer: After three iterations we landed on a calibration approach using simulated A/B tests that has held up over the last 18 months.,Senior Machine Learning Engineer,Amazon,8.0,14,6,2,95.0,5,11,6,6,4,2,6,3,3,False,False,False,False,0.0,,0.0,
37,CAND_0065878,0.958725,0.103449,0.988636,0.8883,0.57241,0.772079,0.771429,0.08,0.0,0.638837,0.92,"Evidence: Evaluation L5 via `human judgments` at Niramai / Senior Data Scientist: Designed the relevance labeling pipeline (mix of click-through data and explicit human judgments), the feature pipeline, and the training/eval workflow. | Search ranking L5 via `learning-to-rank` at Niramai / Senior Data Scientist: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. | Recommendation/matching L5 via `recommendation system` at Uber / NLP Engineer: Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. | Vector search L5 via `embeddings` at Uber / NLP Engineer: The system uses item-item similarity (via sentence-transformer embeddings) for cold starts and a gradient-boosted model trained on engagement signals for warm users. Concerns: limited stored retrieval-infrastructure evidence; template-like repeated career descriptions; trust flags: template_repetition; score capped at 0.92",Senior Data Scientist,Niramai,7.8,15,6,4,92.0,5,25,9,1,11,10,4,3,5,True,False,False,False,8.0,template_repetition,0.0,
38,CAND_0061265,0.75108,0.717475,0.728375,0.658361,0.68755,0.8032,0.714286,0.1,0.0,0.627339,,"Evidence: Search ranking L5 via `learning-to-rank` at Paytm / Senior Data Scientist: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. | Evaluation L5 via `human judgments` at Paytm / Senior Data Scientist: Designed the relevance labeling pipeline (mix of click-through data and explicit human judgments), the feature pipeline, and the training/eval workflow. | Retrieval L4 via `retrieval` at Zoho / Recommendation Systems Engineer: Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-neighbor retrieval. | Vector search L4 via `faiss` at Zoho / Recommendation Systems Engineer: Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-neighbor retrieval. Concerns: long notice period (120 days); trust flags: current_title_description_mismatch, current_title_evidence_mismatch, skills_career_history_mismatch",Recommendation Systems Engineer,Zoho,6.6,16,4,2,42.0,5,16,6,6,3,6,9,4,2,False,False,False,False,10.0,current_title_description_mismatch; current_title_evidence_mismatch; skills_career_history_mismatch; skills_current_role_mismatch,6.0,current_title_description_mismatch; skills_current_role_mismatch; skills_career_history_mismatch
39,CAND_0051292,0.739134,0.686658,0.80763,0.067793,0.79033,0.596859,0.885714,0.04,0.0,0.612457,,"Evidence: Evaluation L5 via `human judgments` at Freshworks / Applied ML Engineer: Designed the relevance labeling pipeline (mix of click-through data and explicit human judgments), the feature pipeline, and the training/eval workflow. | Vector search L4 via `faiss` at Vedantu / Search Engineer: Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-neighbor retrieval. | Search ranking L5 via `learning-to-rank` at Freshworks / Applied ML Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. | Retrieval L4 via `retrieval` at Vedantu / Search Engineer: Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-neighbor retrieval. Concerns: trust flags: previous_title_description_mismatch",Applied ML Engineer,Freshworks,5.2,14,4,3,60.0,5,18,4,5,4,2,9,3,1,False,False,False,False,4.0,previous_title_description_mismatch,4.0,previous_title_description_mismatch; previous_title_description_mismatch
40,CAND_0080766,0.628268,0.794638,0.70296,0.308009,0.715183,0.9268,0.828571,0.06,0.0,0.608528,,"Evidence: Retrieval L5 via `retrieval` at Haptik / Senior Machine Learning Engineer: Migrated the existing BM25-only retrieval to a hybrid setup combining sparse and dense vectors (sentence-transformers, MPNet-base initially, later fine-tuned BGE-large for our domain). | Vector search L5 via `embedding` at Haptik / Senior Machine Learning Engineer: Spent substantial time on the boring-but-critical parts: incremental index refresh, embedding drift monitoring, online/offline metric correlation. | Evaluation L5 via `evaluation framework` at Swiggy / Lead AI Engineer: The hard problem was rarely the modeling  it was the data pipeline that fed the models, the evaluation framework that told us whether they worked, and the operational discipline of keeping all of it healthy in production. | Search ranking L5 via `relevance` at Aganitha / Staff Machine Learning Engineer: The work spanned data infrastructure, ranking algorithms, evaluation methodology, and direct collaboration with product/PM on what 'relevance' actually means for our users. Concerns: trust flags: graduation_after_employment_start, skills_current_role_mismatch, skills_headline_mismatch",Staff Machine Learning Engineer,Salesforce,8.8,21,5,4,105.0,5,14,3,9,3,1,4,6,9,False,False,False,False,6.0,graduation_after_employment_start; skills_current_role_mismatch; skills_headline_mismatch,6.0,graduation_after_employment_start; skills_current_role_mismatch; skills_headline_mismatch
41,CAND_0054394,0.74446,0.684876,0.744142,0.600683,0.638582,0.76906,0.685714,0.11,0.0,0.597756,,"Evidence: Search ranking L5 via `learning-to-rank` at Netflix / NLP Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. | Evaluation L5 via `human judgments` at Netflix / NLP Engineer: Designed the relevance labeling pipeline (mix of click-through data and explicit human judgments), the feature pipeline, and the training/eval workflow. | Retrieval L4 via `retrieval` at PharmEasy / Recommendation Systems Engineer: Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-neighbor retrieval. | Vector search L4 via `faiss` at PharmEasy / Recommendation Systems Engineer: Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-neighbor retrieval. Concerns: trust flags: current_title_description_mismatch, current_title_evidence_mismatch, skills_career_history_mismatch",Recommendation Systems Engineer,PharmEasy,4.1,16,3,2,48.0,5,16,5,5,4,6,6,2,1,False,False,False,False,11.0,current_title_description_mismatch; current_title_evidence_mismatch; skills_career_history_mismatch; skills_current_role_mismatch; skills_headline_mismatch,7.0,current_title_description_mismatch; skills_current_role_mismatch; skills_headline_mismatch; skills_career_history_mismatch
42,CAND_0070485,0.739134,0.686658,0.744142,0.165891,0.631841,0.7258,0.828571,0.06,0.0,0.590733,,"Evidence: Evaluation L5 via `human judgments` at Dream11 / Machine Learning Engineer: Designed the relevance labeling pipeline (mix of click-through data and explicit human judgments), the feature pipeline, and the training/eval workflow. | Search ranking L5 via `learning-to-rank` at Dream11 / Machine Learning Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. | Retrieval L4 via `retrieval` at Saarthi.ai / Search Engineer: Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-neighbor retrieval. | Vector search L4 via `faiss` at Saarthi.ai / Search Engineer: Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-neighbor retrieval. Concerns: long notice period (120 days); trust flags: current_title_description_mismatch, skills_career_history_mismatch, skills_current_role_mismatch",Search Engineer,Saarthi.ai,6.4,13,1,2,76.0,5,14,4,5,4,6,4,2,1,False,False,False,False,6.0,current_title_description_mismatch; skills_career_history_mismatch; skills_current_role_mismatch,6.0,current_title_description_mismatch; skills_current_role_mismatch; skills_career_history_mismatch
43,CAND_0001610,0.470285,0.748134,0.352376,0.702074,0.87904,0.7728,1.0,0.0,0.0,0.59057,,"Evidence: Vector search L5 via `embeddings` at Flipkart / Senior Data Scientist: The system uses item-item similarity (via sentence-transformer embeddings) for cold starts and a gradient-boosted model trained on engagement signals for warm users. | Retrieval L4 via `retrieval` at Dream11 / Machine Learning Engineer: Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-neighbor retrieval. | Recommendation/matching L5 via `recommendation system` at Flipkart / Senior Data Scientist: Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. | Search ranking L5 via `ranking model` at Zoho / Machine Learning Engineer: Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM. Concerns: long notice period (90 days)",Machine Learning Engineer,Dream11,3.0,18,5,3,61.0,5,14,2,7,1,4,11,4,4,False,False,False,False,0.0,,0.0,
44,CAND_0005649,0.481099,0.759758,0.379909,0.647976,0.834364,0.734219,1.0,0.0,0.0,0.589449,,"Evidence: Vector search L4 via `faiss` at Sarvam AI / Senior Data Scientist: Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-neighbor retrieval. | Retrieval L4 via `retrieval` at Sarvam AI / Senior Data Scientist: Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-neighbor retrieval. | Recommendation/matching L4 via `recommendation systems` at Aganitha / Recommendation Systems Engineer: Recommendation Systems Engineer. | Search ranking L5 via `ranking model` at Glance / Search Engineer: Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM. Concerns: long notice period (90 days)",Senior Data Scientist,Sarvam AI,7.4,17,4,3,46.0,5,15,3,9,2,6,9,5,2,False,False,False,False,0.0,,0.0,
45,CAND_0093547,0.882663,0.452208,0.503525,0.784054,0.753772,0.8946,0.685714,0.11,0.0,0.585394,0.92,"Evidence: Search ranking L5 via `learning-to-rank` at PhonePe / Senior Machine Learning Engineer: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing  embedding generation (using a fine-tuned BGE-large)  Pinecone retrieval  learning-to-rank re-scoring (XGBoost)  behavioral-signal inte... | Recommendation/matching L5 via `recommendations` at PhonePe / Senior Machine Learning Engineer: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing  embedding generation (using a fine-tuned BGE-large)  Pinecone retrieval  learning-to-rank re-scoring (XGBoost)  behavioral-signal inte... | Vector search L5 via `embedding` at PhonePe / Senior Machine Learning Engineer: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing  embedding generation (using a fine-tuned BGE-large)  Pinecone retrieval  learning-to-rank re-scoring (XGBoost)  behavioral-signal inte... | Evaluation L5 via `simulated a/b` at PhonePe / Senior Machine Learning Engineer: After three iterations we landed on a calibration approach using simulated A/B tests that has held up over the last 18 months. Concerns: template-like repeated career descriptions; trust flags: graduation_after_employment_start, template_repetition; score capped at 0.92",Senior Machine Learning Engineer,PhonePe,2.9,21,4,3,74.0,5,13,10,4,3,4,7,3,3,True,False,False,False,11.0,graduation_after_employment_start; template_repetition,3.0,graduation_after_employment_start
46,CAND_0022812,0.757479,0.279349,0.728375,0.547803,0.259495,0.784994,1.0,0.0,0.0,0.584176,,"Evidence: Search ranking L5 via `ranking model` at Dream11 / Applied ML Engineer: Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM. | Evaluation L5 via `human judgments` at Razorpay / Applied ML Engineer: Designed the relevance labeling pipeline (mix of click-through data and explicit human judgments), the feature pipeline, and the training/eval workflow. | Recommendation/matching L5 via `recommendation systems` at Aganitha / Recommendation Systems Engineer: Recommendation Systems Engineer. | Retrieval L3 via `retrieval` at Dream11 / Applied ML Engineer: I've learned that most retrieval problems are actually evaluation problems in disguise.",Applied ML Engineer,Dream11,4.5,19,5,3,53.0,5,9,4,3,3,4,7,5,3,False,False,False,False,0.0,,0.0,
47,CAND_0013613,0.470285,0.678256,0.389968,0.661966,0.841118,0.8486,1.0,0.0,0.0,0.579103,,"Evidence: Vector search L5 via `embeddings` at Salesforce / Applied ML Engineer: The system uses item-item similarity (via sentence-transformer embeddings) for cold starts and a gradient-boosted model trained on engagement signals for warm users. | Retrieval L4 via `retrieval` at Adobe / Machine Learning Engineer: Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-neighbor retrieval. | Recommendation/matching L5 via `recommendation system` at Salesforce / Applied ML Engineer: Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. | Search ranking L5 via `ranking model` at Razorpay / Senior Data Scientist: Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM.",Machine Learning Engineer,Adobe,4.7,14,4,3,55.0,5,14,2,4,2,6,7,4,4,False,False,False,False,0.0,,0.0,
