rank,candidate_id,technical_score,career_score,market_score,consistency_score,consistency_penalty,calibration_penalty,final_score,score_cap,reasoning,current_title,current_company,years_of_experience,skill_count,ai_skill_count,relevant_role_count,relevant_duration_months,career_ranking_evidence_count,career_retrieval_evidence_count,keyword_stuffer,ai_transition,consulting_only,consistency_points,consistency_reason_codes
74,CAND_0007009,0.947704,1.0,0.760727,0.666667,0.333333,0.0,0.895279,,"Positives: career evidence for ranking/relevance systems (relevance); career evidence for retrieval/search systems (semantic search, elasticsearch); 3 relevant roles with 94 months of supporting experience | Concerns: profile consistency concerns",Recommendation Systems Engineer,Wysa,7.9,18,1,3,94.0,1,4,False,False,False,10.0,current_title_description_mismatch; previous_title_description_mismatch; previous_title_description_mismatch; skills_current_role_mismatch; skills_career_history_mismatch
75,CAND_0054123,0.927681,0.928712,0.742355,0.966667,0.033333,0.0,0.894772,,"Positives: career evidence for ranking/relevance systems (ranking, relevance); career evidence for retrieval/search systems (semantic search, elasticsearch); 2 relevant roles with 55 months of supporting experience",Applied ML Engineer,Meta,4.7,15,3,2,55.0,2,4,False,False,False,1.0,skills_headline_mismatch
76,CAND_0031593,0.884611,1.0,0.8414,0.733333,0.266667,0.0,0.889688,,"Positives: career evidence for ranking/relevance systems (ranking, relevance); 3 relevant roles with 92 months of supporting experience; product/SaaS company experience | Concerns: longer notice period (90 days); profile consistency concerns",Search Engineer,Genpact AI,7.8,16,2,3,92.0,3,0,False,False,False,8.0,current_title_description_mismatch; previous_title_description_mismatch; skills_current_role_mismatch; skills_career_history_mismatch
77,CAND_0037000,0.876553,1.0,0.858,0.733333,0.266667,0.0,0.889382,,"Positives: career evidence for ranking/relevance systems (ranking, relevance); 3 relevant roles with 75 months of supporting experience; product/SaaS company experience | Concerns: profile consistency concerns",Search Engineer,Unacademy,2.7,17,4,3,75.0,3,0,False,False,False,8.0,current_title_description_mismatch; previous_title_description_mismatch; skills_current_role_mismatch; skills_career_history_mismatch
78,CAND_0033861,0.95079,1.0,0.618735,0.866667,0.133333,0.0,0.888269,,"Positives: career evidence for ranking/relevance systems (ranking); career evidence for retrieval/search systems (semantic search, bm25); 3 relevant roles with 95 months of supporting experience",Senior NLP Engineer,Mad Street Den,8.0,23,3,3,95.0,2,3,False,False,False,4.0,degree_order_reversal
79,CAND_0006557,0.890998,0.960449,0.8002,0.866667,0.133333,0.0,0.887768,,"Positives: career evidence for ranking/relevance systems (ranking, relevance); 2 relevant roles with 94 months of supporting experience; product/SaaS company experience | Concerns: longer notice period (120 days)",NLP Engineer,Paytm,7.9,18,2,2,94.0,3,0,False,False,False,4.0,previous_title_description_mismatch; skills_current_role_mismatch
80,CAND_0051630,0.909935,1.0,0.62767,1.0,0.0,0.0,0.885005,,"Positives: career evidence for ranking/relevance systems (relevance, ranking); career evidence for retrieval/search systems (semantic search, elasticsearch); 2 relevant roles with 71 months of supporting experience | Concerns: longer notice period (90 days)",Machine Learning Engineer,Razorpay,6.0,18,4,2,71.0,3,4,False,False,False,0.0,nan
81,CAND_0070485,0.882312,1.0,0.7858,0.8,0.2,0.0,0.884201,,"Positives: career evidence for ranking/relevance systems (relevance, ranking); career evidence for retrieval/search systems (semantic search, elasticsearch); 2 relevant roles with 76 months of supporting experience | Concerns: longer notice period (120 days)",Search Engineer,Saarthi.ai,6.4,13,1,2,76.0,3,4,False,False,False,6.0,current_title_description_mismatch; skills_current_role_mismatch; skills_career_history_mismatch
82,CAND_0072660,0.890634,0.930628,0.817796,0.866667,0.133333,0.0,0.883668,,"Positives: career evidence for ranking/relevance systems (ranking, relevance); 2 relevant roles with 66 months of supporting experience; product/SaaS company experience",Machine Learning Engineer,Unacademy,7.1,18,3,2,66.0,4,0,False,False,False,4.0,degree_order_reversal
83,CAND_0070202,0.913322,0.895015,0.785312,0.9,0.1,0.0,0.881811,,"Positives: career evidence for ranking/relevance systems (ranking, relevance); 2 relevant roles with 61 months of supporting experience; product/SaaS company experience | Concerns: longer notice period (90 days)",Machine Learning Engineer,BYJU'S,5.1,15,5,2,61.0,3,0,False,False,False,3.0,previous_title_description_mismatch; skills_headline_mismatch
84,CAND_0051292,0.948282,1.0,0.585888,0.866667,0.133333,0.0,0.880571,,"Positives: career evidence for ranking/relevance systems (relevance, ranking); career evidence for retrieval/search systems (semantic search, elasticsearch); 3 relevant roles with 60 months of supporting experience",Applied ML Engineer,Freshworks,5.2,14,4,3,60.0,3,4,False,False,False,4.0,previous_title_description_mismatch; previous_title_description_mismatch
85,CAND_0027691,0.899713,0.956382,0.664243,1.0,0.0,0.0,0.876815,,"Positives: career evidence for ranking/relevance systems (relevance, ranking); career evidence for retrieval/search systems (semantic search, elasticsearch); 2 relevant roles with 49 months of supporting experience",NLP Engineer,Haptik,6.5,17,3,2,49.0,3,4,False,False,False,0.0,nan
86,CAND_0047721,0.855616,0.958103,0.758354,1.0,0.0,0.0,0.876224,,"Positives: career evidence for ranking/relevance systems (ranking, relevance); 2 relevant roles with 84 months of supporting experience; product/SaaS company experience | Concerns: longer notice period (90 days)",Senior Data Scientist,Microsoft,7.0,17,4,2,84.0,3,0,False,False,False,0.0,
87,CAND_0054394,0.915156,0.935218,0.760059,0.766667,0.233333,0.0,0.874303,,"Positives: career evidence for ranking/relevance systems (relevance, ranking); career evidence for retrieval/search systems (semantic search, elasticsearch); 2 relevant roles with 48 months of supporting experience",Recommendation Systems Engineer,PharmEasy,4.1,16,3,2,48.0,3,4,False,False,False,7.0,current_title_description_mismatch; skills_current_role_mismatch; skills_headline_mismatch; skills_career_history_mismatch
88,CAND_0020877,0.916187,0.82362,0.8634,0.833333,0.166667,0.0,0.874202,,"Positives: career evidence for ranking/relevance systems (relevance); career evidence for retrieval/search systems (semantic search, elasticsearch); 2 relevant roles with 60 months of supporting experience",Applied ML Engineer,CRED,5.1,18,2,2,60.0,1,4,False,False,False,5.0,previous_title_description_mismatch; skills_current_role_mismatch; skills_headline_mismatch
89,CAND_0096172,0.920053,0.87869,0.7488,0.9,0.1,0.0,0.873456,,"Positives: career evidence for ranking/relevance systems (relevance, ranking); career evidence for retrieval/search systems (semantic search, elasticsearch); 2 relevant roles with 61 months of supporting experience",NLP Engineer,Krutrim,5.2,15,3,2,61.0,2,4,False,False,False,3.0,skills_current_role_mismatch; skills_headline_mismatch
90,CAND_0014440,0.863,0.91557,0.879099,0.8,0.2,0.0,0.873062,,"Positives: career evidence for ranking/relevance systems (ranking, relevance); 2 relevant roles with 62 months of supporting experience; product/SaaS company experience",Recommendation Systems Engineer,CRED,6.4,12,3,2,62.0,4,0,False,False,False,6.0,current_title_description_mismatch; skills_current_role_mismatch; skills_headline_mismatch
91,CAND_0018549,0.854529,0.957308,0.8558,0.766667,0.233333,0.0,0.871692,,"Positives: career evidence for ranking/relevance systems (ranking, relevance); 2 relevant roles with 81 months of supporting experience; product/SaaS company experience",Recommendation Systems Engineer,Uber,6.8,14,3,2,81.0,3,0,False,False,False,7.0,current_title_description_mismatch; skills_current_role_mismatch; skills_headline_mismatch; skills_career_history_mismatch
92,CAND_0078492,0.870368,0.911801,0.8482,0.8,0.2,0.0,0.869256,,"Positives: career evidence for ranking/relevance systems (ranking, relevance); 2 relevant roles with 61 months of supporting experience; product/SaaS company experience",Recommendation Systems Engineer,Verloop.io,5.1,17,2,2,61.0,4,0,False,False,False,6.0,current_title_description_mismatch; skills_current_role_mismatch; skills_career_history_mismatch
93,CAND_0041611,0.986678,1.0,0.480789,0.766667,0.233333,0.0,0.866829,,"Positives: career evidence for ranking/relevance systems (ranker, ranking); career evidence for retrieval/search systems (bm25, retrieval); 3 relevant roles with 75 months of supporting experience",Staff Machine Learning Engineer,Locobuzz,6.4,18,7,3,75.0,4,5,False,False,False,7.0,previous_title_description_mismatch; signup_after_last_active
94,CAND_0011432,0.773309,0.987269,0.8502,1.0,0.0,0.0,0.864846,,Positives: career evidence for ranking/relevance systems (ranking); 3 relevant roles with 90 months of supporting experience; product/SaaS company experience,Senior Data Scientist,Amazon,7.6,15,3,3,90.0,2,0,False,False,False,0.0,
95,CAND_0061655,0.797767,0.876969,0.9642,0.933333,0.066667,0.0,0.864411,,"Positives: career evidence for ranking/relevance systems (ranking, relevance); 2 relevant roles with 54 months of supporting experience; product/SaaS company experience",Machine Learning Engineer,Krutrim,4.6,17,5,2,54.0,3,0,False,False,False,2.0,previous_title_description_mismatch
96,CAND_0036437,0.874722,0.814122,0.9308,0.8,0.2,0.0,0.863316,,"Positives: career evidence for ranking/relevance systems (ranking, relevance); 2 relevant roles with 37 months of supporting experience; product/SaaS company experience",Search Engineer,Rephrase.ai,4.8,12,1,2,37.0,4,0,False,False,False,6.0,current_title_description_mismatch; skills_current_role_mismatch; skills_career_history_mismatch
97,CAND_0026532,0.955818,0.916925,0.666846,0.7,0.3,0.0,0.862719,,"Positives: career evidence for ranking/relevance systems (relevance, ranking); career evidence for retrieval/search systems (semantic search, elasticsearch); 2 relevant roles with 56 months of supporting experience | Concerns: longer notice period (90 days); profile consistency concerns",Recommendation Systems Engineer,Zomato,4.8,16,2,2,56.0,2,4,False,False,False,9.0,current_title_description_mismatch; previous_title_description_mismatch; skills_current_role_mismatch; skills_headline_mismatch; skills_career_history_mismatch
98,CAND_0066376,0.940344,0.934733,0.659885,0.733333,0.266667,0.0,0.862149,,"Positives: career evidence for ranking/relevance systems (ranking, relevance); career evidence for retrieval/search systems (semantic search, elasticsearch); 2 relevant roles with 67 months of supporting experience | Concerns: longer notice period (90 days); profile consistency concerns",Applied ML Engineer,Dream11,5.7,17,3,2,67.0,2,4,False,False,False,8.0,previous_title_description_mismatch; salary_min_exceeds_max; skills_headline_mismatch
99,CAND_0007411,0.902081,0.924272,0.6228,1.0,0.0,0.0,0.861564,,Positives: career evidence for ranking/relevance systems (ranking); career evidence for retrieval/search systems (retrieval); 2 relevant roles with 95 months of supporting experience,Senior Machine Learning Engineer,Amazon,8.0,14,6,2,95.0,2,1,False,False,False,0.0,nan
100,CAND_0078002,0.800888,1.0,0.8312,0.833333,0.166667,0.0,0.859973,,Positives: career evidence for ranking/relevance systems (ranking); 3 relevant roles with 74 months of supporting experience; product/SaaS company experience,Machine Learning Engineer,Meta,6.3,16,5,3,74.0,3,0,False,False,False,5.0,degree_order_reversal; skills_headline_mismatch
